epoch,test_accuracy,test_f1-score,test_loss,test_precision,test_recall
0.0,0.494,0.36975627254429144,0.33336764574050903,0.4716253026634383,0.494
1.0,0.965,0.9649921232277263,0.11248554289340973,0.9654188769892904,0.965
2.0,0.975,0.974999974999975,0.04633442312479019,0.9750019000076,0.975
3.0,0.975,0.9749993749843746,0.04309792071580887,0.975047504750475,0.975
4.0,0.978,0.977997799779978,0.011333354748785496,0.9781912765106042,0.978
5.0,0.978,0.978,0.023520532995462418,0.978,0.978
6.0,0.978,0.977999647994368,0.02225722186267376,0.9780305939580133,0.978
7.0,0.979,0.978999810998299,0.014078252948820591,0.9790172446208063,0.979
8.0,0.979,0.9789994749868747,0.01429818756878376,0.979047904790479,0.979
9.0,0.98,0.9799996799948798,0.011607238091528416,0.9800307219662059,0.98
10.0,0.98,0.97999991999968,0.014389720745384693,0.980007680122882,0.98
11.0,0.979,0.9789974586925019,0.008322861045598984,0.9792319482629592,0.979
12.0,0.98,0.9799996799948798,0.008818430826067924,0.9800307219662059,0.98
13.0,0.981,0.980999980999981,0.011646510101854801,0.981001924007696,0.981
14.0,0.983,0.982999982999983,0.007124762050807476,0.983001932007728,0.983
15.0,0.981,0.9809998289984609,0.007723386865109205,0.9810173166233984,0.981
16.0,0.98,0.98,0.011086001060903072,0.98,0.98
17.0,0.98,0.9799992799740791,0.013894625939428806,0.9800691299547135,0.98
18.0,0.981,0.9809998289984609,0.008897650986909866,0.9810173166233984,0.981
19.0,0.982,0.9819988479262672,0.014282099902629852,0.9821234235964407,0.982
20.0,0.979,0.978999810998299,0.009160924702882767,0.9790172446208063,0.979
21.0,0.981,0.9809995249881247,0.011177822947502136,0.9810481048104811,0.981
22.0,0.981,0.9809998289984609,0.008113761432468891,0.9810173166233984,0.981
23.0,0.981,0.980999980999981,0.009984816424548626,0.981001924007696,0.981
24.0,0.984,0.9839997439959038,0.010887636803090572,0.9840309779825909,0.984
25.0,0.984,0.9839989759344598,0.012571479193866253,0.9841239357275462,0.984
26.0,0.981,0.9809998289984609,0.008398761972784996,0.9810173166233984,0.981
27.0,0.98,0.9799996799948798,0.007722326088696718,0.9800307219662059,0.98
28.0,0.981,0.9809998289984609,0.00782044604420662,0.9810173166233984,0.981
29.0,0.981,0.980999980999981,0.009637824259698391,0.981001924007696,0.981
30.0,0.979,0.9789994749868747,0.007099722512066364,0.979047904790479,0.979
31.0,0.982,0.9819993519766712,0.011371647007763386,0.9820694179961915,0.982
32.0,0.982,0.981999927999712,0.008675030432641506,0.982007712123394,0.982
33.0,0.983,0.9829991669591809,0.011983742006123066,0.9830946865585655,0.983
34.0,0.981,0.9809998289984609,0.010043425485491753,0.9810173166233984,0.981
35.0,0.981,0.980999980999981,0.008413140662014484,0.981001924007696,0.981
36.0,0.982,0.981999927999712,0.008193385787308216,0.982007712123394,0.982
37.0,0.981,0.980999980999981,0.008625021204352379,0.981001924007696,0.981
38.0,0.98,0.98,0.009472139179706573,0.98,0.98
39.0,0.981,0.9809995249881247,0.007256704848259687,0.9810481048104811,0.981
40.0,0.98,0.9799996799948798,0.007490305695682764,0.9800307219662059,0.98
41.0,0.983,0.982999846998623,0.009807588532567024,0.9830173886259905,0.983
42.0,0.982,0.981999927999712,0.007980692200362682,0.982007712123394,0.982
43.0,0.979,0.978999810998299,0.007952109910547733,0.9790172446208063,0.979
44.0,0.981,0.980999980999981,0.009338833391666412,0.981001924007696,0.981
45.0,0.982,0.981999927999712,0.007482834160327911,0.982007712123394,0.982
46.0,0.98,0.97999991999968,0.008862377144396305,0.980007680122882,0.98
47.0,0.982,0.9819997119953919,0.01069147139787674,0.9820308499743984,0.982
48.0,0.98,0.97999991999968,0.009515548124909401,0.980007680122882,0.98
49.0,0.982,0.981999927999712,0.01089189201593399,0.982007712123394,0.982
50.0,0.981,0.980999980999981,0.009005783125758171,0.981001924007696,0.981
51.0,0.983,0.982999846998623,0.009899287484586239,0.9830173886259905,0.983
52.0,0.982,0.9819997119953919,0.010674960911273956,0.9820308499743984,0.982
53.0,0.981,0.980999980999981,0.0076833791099488735,0.981001924007696,0.981
54.0,0.981,0.980999980999981,0.007320432923734188,0.981001924007696,0.981
55.0,0.983,0.9829995749893746,0.011319569312036037,0.983048304830483,0.983
56.0,0.982,0.9819997119953919,0.007013704627752304,0.9820308499743984,0.982
57.0,0.979,0.978999978999979,0.009605944156646729,0.979001916007664,0.979
58.0,0.98,0.9799996799948798,0.00690128467977047,0.9800307219662059,0.98
