batch,epoch,train_accuracy,train_f1-score,train_loss,train_precision,train_recall
1.0,1.0,0.53125,0.3992490613266583,0.81131077,0.7580645161290323,0.53125
2.0,1.0,0.53125,0.5307917888563051,0.7378694,0.5583333333333333,0.5566801619433198
3.0,1.0,0.5625,0.49090909090909096,0.67646986,0.5777777777777777,0.5411764705882353
4.0,1.0,0.65625,0.6101882613510521,0.7027909,0.7962962962962963,0.65625
5.0,1.0,0.5625,0.41666666666666663,0.8134342,0.7741935483870968,0.5333333333333333
6.0,1.0,0.625,0.6000000000000001,0.64893746,0.7085714285714286,0.6431372549019608
7.0,1.0,0.90625,0.9015384615384615,0.41614053,0.8967611336032388,0.9083333333333333
8.0,1.0,0.78125,0.7793103448275862,0.48104548,0.78125,0.791497975708502
9.0,1.0,0.8125,0.8095238095238094,0.467617,0.8178137651821862,0.807843137254902
10.0,1.0,0.8125,0.8095238095238094,0.4569855,0.8178137651821862,0.807843137254902
11.0,1.0,0.71875,0.6945917285259808,0.47290096,0.7708333333333333,0.7039215686274509
12.0,1.0,0.75,0.7490196078431373,0.51811135,0.8095238095238095,0.7894736842105263
13.0,1.0,0.78125,0.7702564102564102,0.40287817,0.7900432900432901,0.7658730158730158
14.0,1.0,0.90625,0.906158357771261,0.42725888,0.9117647058823529,0.9166666666666667
15.0,1.0,0.8125,0.8095238095238094,0.4280655,0.807843137254902,0.8178137651821862
16.0,1.0,0.90625,0.9054187192118226,0.35432747,0.9087301587301587,0.903921568627451
17.0,1.0,0.84375,0.8423645320197044,0.42868915,0.84375,0.8562753036437247
18.0,1.0,0.90625,0.906158357771261,0.30233583,0.90625,0.907843137254902
19.0,1.0,0.84375,0.8423645320197044,0.36588013,0.8529411764705883,0.875
20.0,1.0,0.84375,0.8435972629521017,0.36270866,0.8531746031746033,0.8490196078431372
21.0,1.0,0.875,0.8666666666666667,0.34466684,0.8571428571428572,0.9090909090909092
22.0,1.0,0.9375,0.9365079365079365,0.2949857,0.9365079365079365,0.9365079365079365
23.0,1.0,0.9375,0.9307359307359306,0.33371758,0.9166666666666667,0.9545454545454546
24.0,1.0,0.9375,0.9375,0.20366031,0.9411764705882353,0.9411764705882353
25.0,1.0,0.96875,0.9684729064039409,0.24202289,0.9722222222222222,0.9666666666666667
26.0,1.0,1.0,1.0,0.19386786,1.0,1.0
27.0,1.0,0.9375,0.9372549019607843,0.26357275,0.9444444444444444,0.9375
28.0,1.0,0.8125,0.8117647058823529,0.3885274,0.85,0.8333333333333333
29.0,1.0,0.90625,0.9054187192118226,0.2320694,0.9087301587301587,0.903921568627451
30.0,1.0,0.96875,0.9684729064039409,0.17487153,0.9666666666666667,0.9722222222222222
31.0,1.0,0.96875,0.9687194525904204,0.19562136,0.96875,0.9705882352941176
32.0,1.0,0.96875,0.9684729064039409,0.18814567,0.9722222222222222,0.9666666666666667
33.0,1.0,0.9375,0.9375,0.17639475,0.9375,0.9375
34.0,1.0,0.96875,0.9687194525904204,0.18312806,0.9705882352941176,0.96875
35.0,1.0,0.9375,0.9333333333333333,0.3241353,0.9230769230769231,0.9523809523809523
36.0,1.0,0.96875,0.9684729064039409,0.17453228,0.9722222222222222,0.9666666666666667
37.0,1.0,0.90625,0.8981972428419935,0.2587516,0.9069264069264069,0.8916666666666666
38.0,1.0,0.96875,0.9687194525904204,0.27542925,0.9705882352941176,0.96875
39.0,1.0,0.84375,0.8423645320197044,0.26706567,0.8452380952380952,0.8411764705882353
40.0,1.0,0.9375,0.9352226720647774,0.18263581,0.9352226720647774,0.9352226720647774
41.0,1.0,0.90625,0.9054187192118226,0.25199637,0.90625,0.9210526315789473
42.0,1.0,0.90625,0.903903903903904,0.28140065,0.9007936507936507,0.9089068825910931
43.0,1.0,0.9375,0.9372549019607843,0.250533,0.9375,0.9444444444444444
44.0,1.0,0.9375,0.9372549019607843,0.20945506,0.9375,0.9444444444444444
45.0,1.0,1.0,1.0,0.12630591,1.0,1.0
46.0,1.0,0.90625,0.9054187192118226,0.21823828,0.903921568627451,0.9087301587301587
47.0,1.0,1.0,1.0,0.12364765,1.0,1.0
48.0,1.0,0.90625,0.9054187192118226,0.17505799,0.9210526315789473,0.90625
49.0,1.0,0.96875,0.9687194525904204,0.15851885,0.96875,0.9705882352941176
50.0,1.0,0.9375,0.9372549019607843,0.1524667,0.9372549019607843,0.9372549019607843
51.0,1.0,0.9375,0.9372549019607843,0.21320812,0.9375,0.9444444444444444
52.0,1.0,0.84375,0.8435972629521016,0.3492129,0.868421052631579,0.8611111111111112
53.0,1.0,0.9375,0.9272727272727272,0.18434897,0.9090909090909092,0.9565217391304348
54.0,1.0,0.9375,0.9372549019607843,0.19138724,0.9372549019607843,0.9372549019607843
55.0,1.0,0.96875,0.9684729064039409,0.13828753,0.9666666666666667,0.9722222222222222
56.0,1.0,0.96875,0.9660657476139979,0.12593728,0.9583333333333333,0.9761904761904762
57.0,1.0,0.90625,0.9054187192118226,0.28355923,0.90625,0.9210526315789473
58.0,1.0,0.9375,0.9365079365079365,0.21986681,0.9365079365079365,0.9365079365079365
59.0,1.0,0.90625,0.906158357771261,0.17593777,0.9166666666666667,0.9117647058823529
